City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Description
62,Piaçabuçu,BR,-10.4056,-36.4344,24.08,24.08,79,56,4.76,broken clouds
63,São Filipe,CV,14.8961,-24.4956,26.36,26.36,80,2,3.54,clear sky
64,Bluff,NZ,-46.6,168.3333,11.0,11.0,76,70,9.24,broken clouds
65,Longyearbyen,SJ,78.2186,15.6401,2.91,2.91,70,90,7.2,overcast clouds
66,Vila Velha,BR,-20.3297,-40.2925,23.97,23.97,78,40,6.17,scattered clouds
67,Morón,AR,-34.6534,-58.6198,15.56,14.33,84,83,2.68,broken clouds
68,Port Elizabeth,ZA,-33.918,25.5701,14.16,12.83,77,0,2.57,clear sky
69,Purpe,RU,64.4803,76.6897,0.47,0.47,73,99,3.56,overcast clouds
70,Batticaloa,LK,7.7102,81.6924,26.94,26.94,68,95,4.35,overcast clouds
71,Atuona,PF,-9.8,-139.0333,25.59,25.59,73,12,9.29,few clouds
72,Dikson,RU,73.5069,80.5464,2.96,2.96,99,100,6.07,light rain
73,Hobart,AU,-42.8794,147.3294,10.7,8.48,76,75,4.12,broken clouds
74,Elizabeth City,US,36.2946,-76.2511,28.01,24.45,70,37,0.45,scattered clouds
75,Maningrida,AU,-12.0667,134.2667,28.17,28.17,67,89,4.12,overcast clouds
76,Castro,BR,-24.7911,-50.0119,21.87,21.87,53,84,1.05,broken clouds
77,Mangai,CD,-4.05,19.5333,21.78,21.78,95,100,0.46,overcast clouds
78,Izhmorskiy,RU,56.194,86.6414,-0.3,-0.3,86,37,2.74,scattered clouds
79,Killybegs,IE,54.6333,-8.45,6.92,6.92,68,72,8.56,broken clouds
80,Puerto Ayora,EC,-0.7393,-90.3518,21.21,21.21,85,82,3.65,broken clouds
81,Matara,LK,5.9485,80.5353,24.75,24.75,89,97,4.91,overcast clouds
82,Husavik,IS,66.0449,-17.3389,2.95,2.95,76,89,11.57,overcast clouds
83,Tāybād,IR,34.74,60.7756,19.22,19.22,36,0,3.64,clear sky
84,Faya,SA,18.3851,42.4509,19.56,19.56,40,71,1.37,broken clouds
85,Kyaikkami,MM,16.08,97.5675,25.92,25.92,87,100,1.98,overcast clouds
86,Lorengau,PG,-2.0226,147.2712,28.2,28.2,80,56,3.23,broken clouds
87,Vanavara,RU,60.34,102.2797,1.5,1.5,85,100,1.51,overcast clouds
88,Torbay,CA,47.6666,-52.7314,17.04,15.71,89,32,3.13,scattered clouds
89,Mzimba,MW,-11.9,33.6,20.54,20.54,47,42,5.21,scattered clouds
90,Thayetmyo,MM,19.3167,95.1833,23.69,23.69,96,100,0.58,overcast clouds
91,Airai,TL,-8.9266,125.4092,19.72,19.72,53,21,1.21,few clouds
92,Kalengwa,ZM,-13.4659,25.0027,19.83,19.83,50,80,1.31,broken clouds
93,Lata,PT,40.1629,-8.3327,14.9,13.53,92,3,1.59,clear sky
94,Beira,MZ,-19.8436,34.8389,23.24,23.24,93,11,2.87,few clouds
95,Yellowknife,CA,62.456,-114.3525,9.67,9.05,100,90,1.34,overcast clouds
96,Narsaq,GL,60.9167,-46.05,-0.88,-0.88,45,0,2.9,clear sky
97,Kavieng,PG,-2.5744,150.7967,28.95,28.95,71,62,3.66,broken clouds
98,Piripiri,BR,-4.2733,-41.7769,27.58,27.58,66,82,3.61,broken clouds
99,Kidal,ML,18.4411,1.4078,29.77,29.77,9,0,3.42,clear sky
100,Port Hedland,AU,-20.3167,118.5667,16.03,16.03,59,2,2.57,clear sky
101,Jamestown,US,42.097,-79.2353,14.62,12.51,67,1,3.09,clear sky
102,Waingapu,ID,-9.6567,120.2641,25.42,25.42,72,40,2.29,scattered clouds
103,Namatanai,PG,-3.6667,152.4333,29.34,29.34,68,86,2.36,overcast clouds
104,Avera,US,33.194,-82.5271,27.73,23.85,55,42,1.83,scattered clouds
105,Acarí,PE,-15.4311,-74.6158,21.15,21.15,62,0,2.03,clear sky
106,Hong Kong,HK,22.2855,114.1577,28.51,27.24,86,10,1.34,clear sky
107,Copiapó,CL,-27.3667,-70.3333,12.83,12.83,35,34,1.46,scattered clouds
108,Kapit,MY,2.0167,112.9333,23.48,23.48,100,100,0.25,light rain
109,Ambilobe,MG,-13.2,49.05,21.86,21.86,74,8,3.38,clear sky
110,Lavrentiya,RU,65.5833,-171.0,0.66,0.66,74,100,3.32,overcast clouds
111,Krasnyy Chikoy,RU,50.3643,108.7512,-1.61,-1.61,89,95,1.29,light snow
112,Faanui,PF,-16.4833,-151.75,26.35,26.35,72,79,6.91,broken clouds
113,Ibotirama,BR,-12.1853,-43.2206,29.78,29.78,29,81,1.87,broken clouds
114,Isla Vista,US,34.4133,-119.861,25.0,19.36,69,20,3.09,few clouds
115,Riyadh,SA,24.6877,46.7219,25.68,25.68,37,4,3.86,clear sky
116,Zirándaro de los Chávez,MX,18.45,-100.9833,31.53,31.53,61,32,0.79,scattered clouds
117,Opuwo,NA,-18.0607,13.84,18.03,18.03,38,1,2.14,clear sky
118,Beloha,MG,-25.1667,45.05,21.43,21.43,73,33,2.06,scattered clouds
119,Emmaus,US,40.5395,-75.4968,21.43,16.24,81,75,3.6,broken clouds
120,Luang Prabang,LA,19.8856,102.1347,22.32,22.32,96,96,0.19,overcast clouds
121,Ascension,US,30.2169,-90.9001,24.0,22.06,97,40,1.54,light rain
122,Bethel,US,41.3712,-73.414,20.51,15.65,91,90,0.0,overcast clouds
123,Coromandel,BR,-18.4733,-47.2003,24.73,24.73,37,34,2.71,scattered clouds
124,Hilo,US,19.7297,-155.09,26.55,24.51,86,60,1.79,light rain
125,Mana,GF,5.6592,-53.7767,26.46,26.46,81,25,3.91,scattered clouds
126,Coyhaique,CL,-45.5752,-72.0662,5.64,5.64,89,38,2.81,scattered clouds
127,Berlevåg,NO,70.8578,29.0864,13.0,13.0,67,43,6.31,scattered clouds
128,Porto Nacional,BR,-10.7081,-48.4172,28.19,28.19,52,90,0.66,overcast clouds
129,Fairbanks,US,64.8378,-147.7164,0.79,-1.06,68,13,0.89,few clouds
130,Saskylakh,RU,71.9167,114.0833,-6.19,-6.19,90,100,2.35,overcast clouds
131,Taltal,CL,-25.4,-70.4833,17.09,17.09,70,23,1.97,few clouds
132,Ossora,RU,59.2353,163.0719,0.9,0.9,98,100,7.58,moderate rain
133,Sitka,US,57.0531,-135.33,11.37,11.37,59,98,3.11,overcast clouds
134,San Rafael del Sur,NI,11.8485,-86.4384,28.25,28.25,70,100,3.76,overcast clouds
135,Kursk,RU,51.7303,36.1939,6.11,5.97,87,100,4.0,overcast clouds
136,Narasannapeta,IN,18.4167,84.05,25.21,25.21,90,99,1.76,overcast clouds
137,Olafsvik,IS,64.8945,-23.7142,3.44,3.44,98,100,22.14,light rain
138,Santarém,BR,-2.4431,-54.7083,27.5,27.5,62,16,1.23,few clouds
139,Along,IN,28.1667,94.7667,21.31,21.31,97,90,0.55,overcast clouds
140,Pingzhuang,CN,42.0372,119.2889,13.3,13.3,71,26,4.36,scattered clouds
141,Klaksvík,FO,62.2266,-6.589,9.51,9.51,79,98,4.91,overcast clouds
142,Boa Vista,BR,2.8197,-60.6733,31.99,31.99,51,20,1.54,few clouds
143,Port-Cartier,CA,50.0334,-66.8654,11.63,11.53,76,97,2.98,overcast clouds
144,Qandala,SO,11.472,49.8728,30.62,30.62,59,41,0.68,scattered clouds
145,Maţāy,EG,28.419,30.7792,24.02,24.02,48,0,4.77,clear sky
146,Russell,US,32.3502,-85.1999,28.78,23.53,82,1,0.0,clear sky
147,Acaraú,BR,-2.8856,-40.12,26.41,26.41,82,8,7.01,clear sky
148,Provideniya,RU,64.3833,-173.3,2.06,2.06,87,90,6.0,moderate rain
149,Moose Factory,CA,51.2585,-80.6094,7.99,7.99,87,90,2.57,mist
150,Bariloche,AR,-41.1456,-71.3082,7.39,7.39,64,78,2.28,broken clouds
151,Norman Wells,CA,65.282,-126.8329,-0.98,-0.98,93,90,6.69,light snow
152,Tuatapere,NZ,-46.1333,167.6833,11.01,11.01,71,45,3.18,scattered clouds
153,Flinders,AU,-34.5833,150.8552,20.67,18.78,75,100,0.45,overcast clouds
154,Hokitika,NZ,-42.7167,170.9667,8.85,8.85,92,100,0.3,overcast clouds
155,Chokurdakh,RU,70.6333,147.9167,-4.29,-4.29,94,97,3.73,overcast clouds
156,Lithgow,AU,-33.4833,150.15,13.04,9.17,88,100,2.4,light rain
157,Poum,NC,-20.2333,164.0167,23.35,23.35,72,60,4.62,broken clouds
158,Bismarck,US,46.8083,-100.7837,35.48,28.34,29,1,4.47,clear sky
159,Quatre Cocos,MU,-20.2078,57.7625,22.27,22.27,68,76,8.35,broken clouds
160,Oddur,SO,4.1213,43.8894,23.3,23.3,70,72,6.55,broken clouds
161,Vardø,NO,70.3705,31.1107,9.25,9.25,76,64,5.91,broken clouds
162,Taldan,RU,53.6667,124.8,2.56,2.56,97,100,5.27,light rain
163,New Norfolk,AU,-42.7826,147.0587,10.51,8.28,78,100,0.89,overcast clouds
164,Haines Junction,CA,60.7522,-137.5108,3.96,3.96,64,100,0.44,overcast clouds
165,Trairi,BR,-3.2778,-39.2689,26.25,26.25,83,8,5.53,clear sky
166,San Cristobal,VE,7.7669,-72.225,19.46,19.46,98,61,1.29,broken clouds
167,Meulaboh,ID,4.1363,96.1285,24.01,24.01,90,100,2.33,moderate rain
168,Cidreira,BR,-30.1811,-50.2056,18.26,18.26,93,100,2.6,moderate rain
169,Port Alfred,ZA,-33.5906,26.891,15.42,15.42,81,80,4.38,broken clouds
170,Owase,JP,34.0667,136.2,22.9,22.9,87,90,2.97,overcast clouds
171,Khatanga,RU,71.9667,102.5,-2.66,-2.66,69,100,3.42,overcast clouds
172,Kango,GA,0.1943,10.0951,23.28,23.28,97,97,0.97,overcast clouds
173,Clyde River,CA,70.4692,-68.5914,-0.87,-0.87,93,90,1.03,overcast clouds
174,Thompson,CA,55.7435,-97.8558,16.25,16.25,51,33,5.57,scattered clouds
175,Bud,US,39.447,-86.1758,26.44,22.67,73,1,2.21,clear sky
176,Calabozo,VE,8.9242,-67.4293,27.05,27.05,75,86,1.86,overcast clouds
177,Zhangjiakou,CN,40.81,114.8794,12.68,12.68,51,1,3.05,clear sky
178,Hithadhoo,MV,-0.6,73.0833,27.77,27.77,74,36,4.72,scattered clouds
179,Musoma,TZ,-1.5,33.8,22.31,22.31,69,28,2.13,light rain
180,Marabu,MY,4.4148,114.0089,24.99,24.99,90,97,1.68,overcast clouds
181,Erenhot,CN,43.6475,111.9767,7.35,7.35,59,58,2.74,broken clouds
182,Butaritari,KI,3.0707,172.7902,28.54,28.54,76,4,9.46,clear sky
183,Shuangyang,CN,43.5242,125.6736,16.75,16.75,87,43,2.73,scattered clouds
184,Vangaindrano,MG,-23.35,47.6,20.03,20.03,93,14,2.58,few clouds
185,Burley,US,42.5357,-113.7928,12.04,12.04,25,100,8.69,overcast clouds
186,Lompoc,US,34.6391,-120.4579,27.28,19.23,52,1,6.69,clear sky
187,Norrtälje,SE,59.758,18.705,13.34,10.1,85,100,4.27,overcast clouds
188,Ilulissat,GL,69.2167,-51.1,-0.99,-0.99,31,12,7.72,few clouds
189,Beaver Falls,US,40.752,-80.3192,21.87,16.33,63,1,0.0,clear sky
190,Lufilufi,WS,-13.8745,-171.5986,27.59,27.59,77,44,8.04,light rain
191,Salinas,US,36.6777,-121.6555,26.67,17.68,56,0,3.74,clear sky
192,Jagdalpur,IN,19.0667,82.0333,21.16,21.16,97,100,1.56,overcast clouds
193,Tomatlán,MX,19.9333,-105.25,28.91,28.91,70,97,1.58,overcast clouds
194,Odienné,CI,9.51,-7.5692,22.95,22.95,85,35,1.26,scattered clouds
195,Chern',RU,53.4523,36.9145,3.14,3.14,86,81,3.44,broken clouds
196,Tuktoyaktuk,CA,69.4541,-133.0374,1.03,1.03,100,100,8.44,light rain
197,Kalianget,ID,-7.05,113.9333,26.83,26.83,75,46,2.0,scattered clouds
198,Vanimo,PG,-2.6741,141.3028,28.03,28.03,75,77,1.72,broken clouds
199,Santa Rosa,PH,14.3122,121.1114,29.36,27.83,78,66,0.98,broken clouds
200,Sinnamary,GF,5.3833,-52.95,26.67,26.67,81,80,4.11,broken clouds
201,Payakumbuh,ID,-0.2202,100.6308,21.18,21.18,98,81,1.19,broken clouds
202,Adrar,MR,20.5022,-10.0711,33.78,33.78,8,0,3.2,clear sky
203,Soe,ID,-9.8607,124.284,22.27,22.27,62,14,2.1,few clouds
204,Baykit,RU,61.67,96.37,2.71,2.71,83,100,1.11,overcast clouds
205,Lüderitz,NA,-26.6481,15.1594,12.63,12.63,79,15,7.94,few clouds
206,Mayo,US,38.8876,-76.5119,25.07,21.75,74,20,0.45,few clouds
207,Constantine,DZ,36.365,6.6147,18.97,18.97,69,62,0.32,broken clouds
208,Keti Bandar,PK,24.1447,67.4497,30.35,30.35,67,95,3.31,overcast clouds
209,Bredasdorp,ZA,-34.5322,20.0403,12.77,12.77,88,88,1.87,overcast clouds
210,Sur,OM,22.5667,59.5289,29.27,29.27,63,72,2.28,broken clouds
211,Aklavik,CA,68.2191,-135.0107,1.4,1.4,94,100,8.64,light rain
212,Iwaki,JP,37.05,140.8833,21.14,19.32,81,3,1.29,clear sky
213,Natal,BR,-5.795,-35.2094,27.12,26.36,74,90,7.2,overcast clouds
214,Tiksi,RU,71.6872,128.8694,-0.42,-0.42,94,98,1.42,overcast clouds
215,Nanortalik,GL,60.1432,-45.2371,3.21,3.21,61,0,2.77,clear sky
216,Kutum,SD,14.2,24.6667,26.32,26.32,29,10,5.86,clear sky
217,Ostrovnoy,RU,68.0531,39.5131,9.58,9.58,79,100,4.13,overcast clouds
218,Pushkinskiye Gory,RU,57.0209,28.9103,7.64,7.64,87,100,1.73,overcast clouds
219,Kjøllefjord,NO,70.9457,27.3465,12.9,12.9,54,0,8.75,clear sky
220,Leshukonskoye,RU,64.8989,45.7622,4.15,4.15,95,55,0.68,broken clouds
221,Asău,RO,46.4333,26.4,9.97,8.49,93,94,1.09,light rain
222,Bambanglipuro,ID,-7.95,110.2833,12.56,12.56,88,57,1.31,broken clouds
223,Andenes,NO,69.3143,16.1194,9.15,7.99,93,90,2.06,overcast clouds
224,El Salvador,SV,13.8333,-88.9167,23.79,23.79,90,63,1.81,broken clouds
225,Maniitsoq,GL,65.4167,-52.9,0.67,0.67,57,1,3.63,clear sky
226,Isangel,VU,-19.55,169.2667,25.09,25.09,65,49,5.93,scattered clouds
227,Guerrero Negro,MX,27.9769,-114.0611,23.11,23.11,64,24,7.62,few clouds
228,Upernavik,GL,72.7868,-56.1549,-2.89,-2.89,50,32,1.97,scattered clouds
229,Souillac,MU,-20.5167,57.5167,22.42,22.42,72,25,7.07,scattered clouds
230,Kungurtug,RU,50.5994,97.5228,-5.56,-5.56,57,91,0.33,overcast clouds
231,Innisfail,AU,-17.5333,146.0333,25.11,25.11,76,76,3.33,broken clouds
232,Awjilah,LY,29.1081,21.2869,23.45,23.45,51,0,3.59,clear sky
233,Manta,EC,-0.95,-80.7333,22.47,22.47,81,67,6.52,broken clouds
234,Anadyr,RU,64.75,177.4833,-2.72,-3.33,68,0,8.0,clear sky
235,Nchelenge,ZM,-9.3451,28.734,23.39,23.39,67,68,2.06,broken clouds
236,Alofi,NU,-19.0595,-169.9187,24.94,24.94,94,75,4.63,light intensity shower rain
237,Barbate,ES,36.1924,-5.9219,21.06,17.05,72,0,0.85,clear sky
238,Yumen,CN,40.2833,97.2,12.32,12.32,28,0,2.01,clear sky
239,Murgab,TM,37.4966,61.9714,17.51,17.51,30,0,3.84,clear sky
240,Krasnyy Klyuch,RU,55.3863,56.6529,0.68,0.68,90,39,2.53,scattered clouds
241,Coquimbo,CL,-29.9533,-71.3436,13.85,13.85,88,20,4.63,few clouds
242,Bethanien,NA,-26.502,17.1583,16.81,16.81,43,100,1.95,overcast clouds
243,Palu,ID,-0.8917,119.8707,25.46,25.46,94,56,0.97,broken clouds
244,Todos Santos,MX,23.45,-110.2167,30.97,26.67,76,4,3.83,clear sky
245,Nikolskoye,RU,59.7035,30.7861,8.82,7.66,70,100,1.36,overcast clouds
246,Candolim,IN,15.5181,73.7626,25.0,25.0,94,90,2.06,heavy intensity rain
247,Marsá Maţrūḩ,EG,31.3525,27.2453,23.5,23.5,81,0,5.1,clear sky
248,Westport,US,41.1415,-73.3579,21.72,17.01,89,100,1.34,overcast clouds
249,Labytnangi,RU,66.6572,66.4183,0.57,0.57,91,93,2.06,overcast clouds
250,Qiqihar,CN,47.3408,123.9672,8.59,8.59,63,71,4.76,broken clouds
251,Nome,US,64.5011,-165.4064,2.04,1.73,51,90,2.57,overcast clouds
252,Marondera,ZW,-18.1853,31.5519,15.02,15.02,55,13,1.59,few clouds
253,Saint-Philippe,RE,-21.3585,55.7679,21.75,20.12,78,43,5.44,scattered clouds
254,Barrow,US,71.2906,-156.7887,-0.99,-0.99,80,90,1.54,haze
255,Geraldton,AU,-28.7667,114.6,15.23,15.23,88,90,5.14,overcast clouds
256,Saldanha,ZA,-33.0117,17.9442,14.88,14.88,81,0,10.53,clear sky
257,Pacific Grove,US,36.6177,-121.9166,27.01,16.72,65,1,1.79,clear sky
258,Srednekolymsk,RU,67.45,153.6833,-3.8,-3.8,86,92,0.85,overcast clouds
259,Moses Lake,US,47.1301,-119.2781,19.05,17.56,39,20,5.66,few clouds
260,Auki,SB,-8.7676,160.7034,29.01,29.01,68,100,2.19,overcast clouds
261,Xapuri,BR,-10.6517,-68.5044,29.67,29.67,47,53,0.77,broken clouds
262,Gornyak,RU,50.9942,81.4661,12.02,12.02,52,100,8.25,overcast clouds
263,Fare,PF,-16.7,-151.0167,25.88,25.88,76,96,6.79,light rain
264,Soto la Marina,MX,23.7667,-98.2167,31.38,31.38,58,11,8.57,few clouds
265,Gimli,CA,50.6336,-96.9907,29.13,29.13,51,32,4.24,scattered clouds
266,Jatai,BR,-17.8814,-51.7144,28.11,28.11,36,54,0.14,broken clouds
267,Laguna,US,38.421,-121.4238,27.89,24.31,19,1,3.13,clear sky
268,Mossamedes,AO,-15.1961,12.1522,17.77,17.77,85,85,1.52,overcast clouds
269,Villa Carlos Paz,AR,-31.4241,-64.4978,15.22,13.6,76,42,0.45,scattered clouds
270,Pestravka,RU,52.405,49.9583,4.42,4.42,65,100,3.95,overcast clouds
271,Ripon,GB,54.1352,-1.5212,11.71,9.34,92,100,3.63,overcast clouds
272,Bani Walid,LY,31.7566,13.9942,21.66,21.66,93,0,2.64,clear sky
273,Phang Nga,TH,8.4509,98.5298,25.02,25.02,95,77,1.51,broken clouds
274,Jalu,LY,29.0331,21.5482,23.68,23.68,48,0,3.8,clear sky
275,Okulovka,RU,58.4008,33.2908,3.21,3.21,91,56,0.78,broken clouds
276,Hailey,US,43.5196,-114.3153,14.92,1.14,17,40,5.14,scattered clouds
277,Zhuhai,CN,22.2769,113.5678,28.36,27.1,83,20,1.54,light rain
278,Garmsār,IR,35.2182,52.3409,24.04,24.04,28,0,3.27,clear sky
279,Ciudad de Armería,MX,18.9333,-103.9667,29.38,29.38,66,46,2.12,scattered clouds
280,Sioux Lookout,CA,50.1001,-91.917,19.98,19.98,64,3,2.26,clear sky
281,Diapaga,BF,12.0708,1.7889,26.2,26.2,59,8,2.89,clear sky
282,Hasaki,JP,35.7333,140.8333,21.27,20.22,73,11,2.4,few clouds
283,Ugoofaaru,MV,5.6667,73.0,27.56,27.56,80,79,6.7,broken clouds
284,Barcelos,PT,41.5388,-8.6151,14.95,14.08,88,30,2.15,scattered clouds
285,Key Largo,US,25.0865,-80.4473,27.79,27.22,54,0,6.93,clear sky
286,Ponta do Sol,PT,32.6667,-17.1,23.89,21.74,75,79,2.29,broken clouds
287,Puerto del Rosario,ES,28.5004,-13.8627,22.86,22.82,73,5,10.8,clear sky
288,Rajanpur,PK,29.1035,70.325,29.81,29.81,56,3,2.98,clear sky
289,Lagoa,PT,39.05,-27.9833,21.27,21.27,87,13,6.39,few clouds
290,Province of Mantua,IT,45.1667,10.7833,19.83,16.72,86,100,0.89,overcast clouds
291,Mahibadhoo,MV,3.7833,72.9667,27.83,27.83,78,100,6.52,overcast clouds
292,Vestmannaeyjar,IS,63.4427,-20.2734,4.22,4.22,83,100,14.16,overcast clouds
293,Takoradze,GH,4.8845,-1.7554,24.58,24.58,90,26,2.81,scattered clouds
294,Mareeba,AU,-17.0,145.4333,24.71,23.4,78,70,4.21,broken clouds
295,Naryan-Mar,RU,67.6713,53.087,3.24,3.24,88,77,2.96,broken clouds
296,Mitsamiouli,KM,-11.3847,43.2844,25.61,25.61,77,42,3.32,light rain
297,Evensk,RU,61.95,159.2333,0.54,0.54,38,100,4.84,overcast clouds
298,Liwale,TZ,-9.7667,37.9333,19.05,19.05,86,4,1.38,clear sky
299,Imeni Poliny Osipenko,RU,52.4201,136.4853,13.17,13.17,76,97,5.65,overcast clouds
300,Veinticinco de Mayo,AR,-35.4323,-60.1727,15.03,15.03,78,2,3.83,clear sky
301,Sehwan,PK,26.4279,67.863,26.9,26.9,61,10,2.52,clear sky
302,Tucumcari,US,35.1717,-103.725,27.75,26.91,29,40,8.23,scattered clouds
303,Iskateley,RU,67.6803,53.1512,3.2,3.2,88,78,2.96,broken clouds
304,La Romana,DO,18.4273,-68.9728,27.85,25.2,94,75,0.0,thunderstorm
305,Mananara,MG,-16.1667,49.7667,20.93,20.93,90,80,2.47,light rain
306,Harper,LR,4.375,-7.7169,25.39,25.39,84,100,2.93,overcast clouds
307,Richards Bay,ZA,-28.783,32.0377,20.23,20.23,81,91,2.76,overcast clouds
308,Beringovskiy,RU,63.05,179.3167,-1.16,-1.16,74,80,2.81,light snow
309,Chapais,CA,49.7834,-74.8492,4.88,4.88,94,100,3.73,overcast clouds
310,Bereda,ES,43.2686,-7.5406,14.4,10.08,100,37,1.31,scattered clouds
311,Bukachacha,RU,52.9833,116.9167,-0.37,-0.37,84,97,1.31,overcast clouds
312,Pevek,RU,69.7008,170.3133,-5.03,-5.03,84,99,2.04,overcast clouds
313,Te Anau,NZ,-45.4167,167.7167,9.7,9.7,85,84,2.81,broken clouds
