City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-09-27 00:56:20,-46.1927,168.8643,51.48,35,6,2.44
1,Punta Arenas,CL,2021-09-27 00:58:50,-53.15,-70.9167,41.11,75,0,10.36
2,Ponta Do Sol,PT,2021-09-27 00:58:13,32.6667,-17.1,70.43,70,27,3.36
3,Pedernales,DO,2021-09-27 00:58:51,18.0384,-71.744,82.49,77,95,2.44
4,Castro,BR,2021-09-27 00:58:51,-24.7911,-50.0119,63.05,73,2,4.27
5,Rikitea,PF,2021-09-27 00:56:01,-23.1203,-134.9692,73.78,72,2,19.42
6,Kungurtug,RU,2021-09-27 00:58:03,50.5994,97.5228,32.5,90,77,4.32
7,Butaritari,KI,2021-09-27 00:58:52,3.0707,172.7902,83.97,72,99,15.88
8,Zambezi,ZM,2021-09-27 00:58:52,-13.5432,23.1047,64.02,28,55,4.12
9,Busselton,AU,2021-09-27 00:58:53,-33.65,115.3333,59.09,80,48,13.8
10,Beloha,MG,2021-09-27 00:58:42,-25.1667,45.05,69.17,67,0,7.85
11,Khatanga,RU,2021-09-27 00:58:53,71.9667,102.5,28.85,91,91,9.35
12,Barrow,US,2021-09-27 00:57:26,71.2906,-156.7887,22.64,84,94,6.6
13,Avarua,CK,2021-09-27 00:56:32,-21.2078,-159.775,78.85,69,40,3.44
14,Kapuskasing,CA,2021-09-27 00:58:54,49.4169,-82.4331,50.09,100,75,3.44
15,Hermanus,ZA,2021-09-27 00:58:55,-34.4187,19.2345,58.89,90,73,6.13
16,Puerto Ayora,EC,2021-09-27 00:58:34,-0.7393,-90.3518,69.28,90,99,8.37
17,Mumford,GH,2021-09-27 00:58:55,5.2618,-0.759,74.8,90,100,8.93
18,Tiksi,RU,2021-09-27 00:57:22,71.6872,128.8694,33.62,96,100,7.02
19,Hobart,AU,2021-09-27 00:58:33,-42.8794,147.3294,56.26,51,20,5.01
20,Ushuaia,AR,2021-09-27 00:58:56,-54.8,-68.3,40.66,60,0,8.05
21,Maarianhamina,AX,2021-09-27 00:58:56,60.0973,19.9348,40.86,100,69,2.3
22,Nyurba,RU,2021-09-27 00:58:57,63.2842,118.3319,35.6,67,83,13.85
23,Yellowknife,CA,2021-09-27 00:57:29,62.456,-114.3525,45.41,72,40,8.05
24,Sovetskiy,RU,2021-09-27 00:57:19,61.3614,63.5842,29.84,91,94,6.17
25,Tabuk,PH,2021-09-27 00:58:58,17.4189,121.4443,82.65,75,10,2.91
26,Clyde River,CA,2021-09-27 00:56:15,70.4692,-68.5914,25.97,87,26,7.87
27,Upernavik,GL,2021-09-27 00:58:58,72.7868,-56.1549,23.77,64,0,3.83
28,Adeje,ES,2021-09-27 00:58:59,28.1227,-16.726,74.01,75,20,16.11
29,Matara,LK,2021-09-27 00:58:59,5.9485,80.5353,76.73,89,100,18.19
30,Albany,US,2021-09-27 00:58:43,42.6001,-73.9662,56.59,83,1,5.03
31,Port Elizabeth,ZA,2021-09-27 00:59:00,-33.918,25.5701,62.89,94,20,11.5
32,Rawson,AR,2021-09-27 00:59:00,-43.3002,-65.1023,50.99,37,6,0.54
33,Dalaba,GN,2021-09-27 00:59:01,10.7,-12.25,63.12,94,100,3.04
34,Cayenne,GF,2021-09-27 00:59:01,4.9333,-52.3333,83.08,78,67,3.0
35,Port-Gentil,GA,2021-09-27 00:59:02,-0.7193,8.7815,77.61,82,100,9.98
36,Vaini,TO,2021-09-27 00:58:27,-21.2,-175.2,77.16,73,75,6.91
37,Bredasdorp,ZA,2021-09-27 00:58:22,-34.5322,20.0403,58.32,88,39,5.75
38,Naze,JP,2021-09-27 00:59:03,28.3667,129.4833,83.32,76,17,16.04
39,Rio Grande,BR,2021-09-27 00:58:01,-32.035,-52.0986,60.94,93,0,8.19
40,Oktyabrskoye,RU,2021-09-27 00:59:03,43.0645,44.7417,42.94,100,9,4.47
41,Adrar,MR,2021-09-27 00:59:04,20.5022,-10.0711,91.76,12,0,9.4
42,Tuktoyaktuk,CA,2021-09-27 00:58:13,69.4541,-133.0374,33.8,86,75,13.8
43,Sorong,ID,2021-09-27 00:54:34,-0.8833,131.25,83.01,73,32,3.0
44,Dikson,RU,2021-09-27 00:59:04,73.5069,80.5464,35.6,86,100,23.26
45,Gobabis,NA,2021-09-27 00:59:05,-22.45,18.9667,65.44,19,2,11.74
46,Grand Gaube,MU,2021-09-27 00:59:05,-20.0064,57.6608,70.2,90,52,13.0
47,Okakarara,NA,2021-09-27 00:59:06,-20.5833,17.4333,62.31,19,6,4.88
48,Fort Nelson,CA,2021-09-27 00:59:06,58.8053,-122.7002,47.79,53,90,8.05
49,Mahebourg,MU,2021-09-27 00:59:07,-20.4081,57.7,70.09,88,75,19.57
