City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
128,Porto Nacional,BR,28.19,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
129,Fairbanks,US,0.79,few clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
131,Taltal,CL,17.09,few clouds,-25.4,-70.4833,Residencial Karime
133,Sitka,US,11.37,overcast clouds,57.0531,-135.33,Westmark Sitka
134,San Rafael del Sur,NI,28.25,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
135,Kursk,RU,6.11,overcast clouds,51.7303,36.1939,"Gostinitsa Avrora, Kursk"
136,Narasannapeta,IN,25.21,overcast clouds,18.4167,84.05,G.lingaraju home
137,Olafsvik,IS,3.44,light rain,64.8945,-23.7142,Hotel Olafsvik
138,Santarém,BR,27.5,few clouds,-2.4431,-54.7083,Ecotur Lodge
139,Along,IN,21.31,overcast clouds,28.1667,94.7667,Hotel West
140,Pingzhuang,CN,13.3,scattered clouds,42.0372,119.2889,Haoke Guest House
141,Klaksvík,FO,9.51,overcast clouds,62.2266,-6.589,Airbnb rooms
142,Boa Vista,BR,31.99,few clouds,2.8197,-60.6733,Aipana Plaza Hotel
143,Port-Cartier,CA,11.63,overcast clouds,50.0334,-66.8654,Le Q'Artier
145,Maţāy,EG,24.02,clear sky,28.419,30.7792,Nag Aespen
146,Russell,US,28.78,clear sky,32.3502,-85.1999,Macs
147,Acaraú,BR,26.41,clear sky,-2.8856,-40.12,castelo pizzaria
149,Moose Factory,CA,7.99,mist,51.2585,-80.6094,Moosonee Lilypad
150,Bariloche,AR,7.39,broken clouds,-41.1456,-71.3082,Hotel Patagonia
151,Norman Wells,CA,-0.98,light snow,65.282,-126.8329,Heritage Hotel
152,Tuatapere,NZ,11.01,scattered clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
153,Flinders,AU,20.67,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
154,Hokitika,NZ,8.85,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
156,Lithgow,AU,13.04,light rain,-33.4833,150.15,Zig Zag Motel Lithgow
157,Poum,NC,23.35,broken clouds,-20.2333,164.0167,Gîte kajeon
158,Bismarck,US,35.48,clear sky,46.8083,-100.7837,Ramkota Hotel & Conference Center
159,Quatre Cocos,MU,22.27,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
160,Oddur,SO,23.3,broken clouds,4.1213,43.8894,Banjanay Hotel
161,Vardø,NO,9.25,broken clouds,70.3705,31.1107,Vardø Hotel AS
163,New Norfolk,AU,10.51,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
164,Haines Junction,CA,3.96,overcast clouds,60.7522,-137.5108,Parkside Inn
165,Trairi,BR,26.25,clear sky,-3.2778,-39.2689,janelas do mar
166,San Cristobal,VE,19.46,broken clouds,7.7669,-72.225,Posada Villaven C.A.
167,Meulaboh,ID,24.01,moderate rain,4.1363,96.1285,Kost Pria
168,Cidreira,BR,18.26,moderate rain,-30.1811,-50.2056,Hotel Castelo
169,Port Alfred,ZA,15.42,broken clouds,-33.5906,26.891,The Halyards Hotel
170,Owase,JP,22.9,overcast clouds,34.0667,136.2,Business Hotel Phoenix
171,Khatanga,RU,-2.66,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
172,Kango,GA,23.28,overcast clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
173,Clyde River,CA,-0.87,overcast clouds,70.4692,-68.5914,Qamaq Hotel
174,Thompson,CA,16.25,scattered clouds,55.7435,-97.8558,Burntwood Hotel
175,Bud,US,26.44,clear sky,39.447,-86.1758,Ted McQuinn Trust
176,Calabozo,VE,27.05,overcast clouds,8.9242,-67.4293,Hotel Giardini
177,Zhangjiakou,CN,12.68,clear sky,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
178,Hithadhoo,MV,27.77,scattered clouds,-0.6,73.0833,Scoop Guest House
179,Musoma,TZ,22.31,light rain,-1.5,33.8,New Peninsula Hotel
180,Marabu,MY,24.99,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
181,Erenhot,CN,7.35,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
182,Butaritari,KI,28.54,clear sky,3.0707,172.7902,Isles Sunset Lodge
183,Shuangyang,CN,16.75,scattered clouds,43.5242,125.6736,Boutique Chatelet
184,Vangaindrano,MG,20.03,few clouds,-23.35,47.6,Hotel Fanilo
185,Burley,US,12.04,overcast clouds,42.5357,-113.7928,Fairfield Inn & Suites by Marriott Burley
186,Lompoc,US,27.28,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
187,Norrtälje,SE,13.34,overcast clouds,59.758,18.705,Norrtälje Vandrarhem Hvilan
188,Ilulissat,GL,-0.99,few clouds,69.2167,-51.1,Hotel Arctic
189,Beaver Falls,US,21.87,clear sky,40.752,-80.3192,American Structures and Patios
190,Lufilufi,WS,27.59,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
191,Salinas,US,26.67,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
192,Jagdalpur,IN,21.16,overcast clouds,19.0667,82.0333,Hotel Devansh Residency
193,Tomatlán,MX,28.91,overcast clouds,19.9333,-105.25,El Salvial
194,Odienné,CI,22.95,scattered clouds,9.51,-7.5692,Oustaz Vame DIAKITE
195,Chern',RU,3.14,broken clouds,53.4523,36.9145,Красная Нива
196,Tuktoyaktuk,CA,1.03,light rain,69.4541,-133.0374,End of The Road Ltd.
197,Kalianget,ID,26.83,scattered clouds,-7.05,113.9333,Pesanggrahan Garam
198,Vanimo,PG,28.03,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
199,Santa Rosa,PH,29.36,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
200,Sinnamary,GF,26.67,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
201,Payakumbuh,ID,21.18,broken clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
203,Soe,ID,22.27,few clouds,-9.8607,124.284,Dena Hotel
206,Mayo,US,25.07,few clouds,38.8876,-76.5119,Resorts Resource Group International
207,Constantine,DZ,18.97,broken clouds,36.365,6.6147,Grand Hotel Cirta
208,Keti Bandar,PK,30.35,overcast clouds,24.1447,67.4497,Haji laloo memon house
209,Bredasdorp,ZA,12.77,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
210,Sur,OM,29.27,broken clouds,22.5667,59.5289,Sur Plaza Hotel
211,Aklavik,CA,1.4,light rain,68.2191,-135.0107,Aklavik Inn
212,Iwaki,JP,21.14,clear sky,37.05,140.8833,Toyoko Inn Iwaki Ekimae
213,Natal,BR,27.12,overcast clouds,-5.795,-35.2094,Villa Park Hotel | Natal
214,Tiksi,RU,-0.42,overcast clouds,71.6872,128.8694,Arktika
215,Nanortalik,GL,3.21,clear sky,60.1432,-45.2371,Hotel Kap Farvel
216,Kutum,SD,26.32,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
218,Pushkinskiye Gory,RU,7.64,overcast clouds,57.0209,28.9103,"The recreation center ""Pushkinogorye"""
219,Kjøllefjord,NO,12.9,clear sky,70.9457,27.3465,Hotel Nordkyn
220,Leshukonskoye,RU,4.15,broken clouds,64.8989,45.7622,Pryalitsa Hostel
221,Asău,RO,9.97,light rain,46.4333,26.4,Casa Mika Ciobanus
222,Bambanglipuro,ID,12.56,broken clouds,-7.95,110.2833,Puri Brata
223,Andenes,NO,9.15,overcast clouds,69.3143,16.1194,Hotell Marena
224,El Salvador,SV,23.79,broken clouds,13.8333,-88.9167,Chico's Ranch
225,Maniitsoq,GL,0.67,clear sky,65.4167,-52.9,Hotel Heilmann Lyberth
226,Isangel,VU,25.09,scattered clouds,-19.55,169.2667,Tanna Lodge
227,Guerrero Negro,MX,23.11,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
228,Upernavik,GL,-2.89,scattered clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
229,Souillac,MU,22.42,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
231,Innisfail,AU,25.11,broken clouds,-17.5333,146.0333,Moondarra Motel
233,Manta,EC,22.47,broken clouds,-0.95,-80.7333,Balandra Hotel
234,Anadyr,RU,-2.72,clear sky,64.75,177.4833,"Гостиница ""Анадырь"""
235,Nchelenge,ZM,23.39,broken clouds,-9.3451,28.734,KD Travellers Home
236,Alofi,NU,24.94,light intensity shower rain,-19.0595,-169.9187,Taloa Heights
237,Barbate,ES,21.06,clear sky,36.1924,-5.9219,Hotel Adiafa
240,Krasnyy Klyuch,RU,0.68,scattered clouds,55.3863,56.6529,"Gostevoy Dom ""Krasnyy Klyuch"""
241,Coquimbo,CL,13.85,few clouds,-29.9533,-71.3436,Punto de encuentro
243,Palu,ID,25.46,broken clouds,-0.8917,119.8707,Hotel Santika Palu
244,Todos Santos,MX,30.97,clear sky,23.45,-110.2167,Hotel California Todos Santos
245,Nikolskoye,RU,8.82,overcast clouds,59.7035,30.7861,Tourist House - Sablino
246,Candolim,IN,25.0,heavy intensity rain,15.5181,73.7626,Resort Terra Paraiso
247,Marsá Maţrūḩ,EG,23.5,clear sky,31.3525,27.2453,Beau Site
248,Westport,US,21.72,overcast clouds,41.1415,-73.3579,The Westport Inn
249,Labytnangi,RU,0.57,overcast clouds,66.6572,66.4183,Priuralye Hotel
250,Qiqihar,CN,8.59,broken clouds,47.3408,123.9672,Ji Hotel Qiqihar Bu Kui Street
251,Nome,US,2.04,overcast clouds,64.5011,-165.4064,Dredge 7 Inn
252,Marondera,ZW,15.02,few clouds,-18.1853,31.5519,HopeFay Conference Centre
253,Saint-Philippe,RE,21.75,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
254,Barrow,US,-0.99,haze,71.2906,-156.7887,King Eider Inn
255,Geraldton,AU,15.23,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
256,Saldanha,ZA,14.88,clear sky,-33.0117,17.9442,Blue Bay Lodge
257,Pacific Grove,US,27.01,clear sky,36.6177,-121.9166,Lovers Point Inn
259,Moses Lake,US,19.05,few clouds,47.1301,-119.2781,Ramada by Wyndham Moses Lake
260,Auki,SB,29.01,overcast clouds,-8.7676,160.7034,Auki Motel
261,Xapuri,BR,29.67,broken clouds,-10.6517,-68.5044,Pousada dos Chapurys
262,Gornyak,RU,12.02,overcast clouds,50.9942,81.4661,Komfort
263,Fare,PF,25.88,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
264,Soto la Marina,MX,31.38,few clouds,23.7667,-98.2167,Hotel Chicago
265,Gimli,CA,29.13,scattered clouds,50.6336,-96.9907,Lakeview Gimli Resort
266,Jatai,BR,28.11,broken clouds,-17.8814,-51.7144,La Vitre Hotel
267,Laguna,US,27.89,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
268,Mossamedes,AO,17.77,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
269,Villa Carlos Paz,AR,15.22,scattered clouds,-31.4241,-64.4978,Monte Carlo
270,Pestravka,RU,4.42,overcast clouds,52.405,49.9583,"Gostinitsa ""Germes"""
271,Ripon,GB,11.71,overcast clouds,54.1352,-1.5212,The Ripon Spa Hotel
272,Bani Walid,LY,21.66,clear sky,31.7566,13.9942,منزل الصابر أبوفانة
273,Phang Nga,TH,25.02,broken clouds,8.4509,98.5298,Sunimit Mansion
274,Jalu,LY,23.68,clear sky,29.0331,21.5482,صاحبة الفخامة
275,Okulovka,RU,3.21,broken clouds,58.4008,33.2908,Motel' Flagman
276,Hailey,US,14.92,scattered clouds,43.5196,-114.3153,Wood River Inn & Suites
277,Zhuhai,CN,28.36,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
278,Garmsār,IR,24.04,clear sky,35.2182,52.3409,آذین فوم
279,Ciudad de Armería,MX,29.38,scattered clouds,18.9333,-103.9667,Hotel la Herradura
280,Sioux Lookout,CA,19.98,clear sky,50.1001,-91.917,Knobby's Fly-In Camps
282,Hasaki,JP,21.27,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
283,Ugoofaaru,MV,27.56,broken clouds,5.6667,73.0,Ungoofaaru Inn
284,Barcelos,PT,14.95,scattered clouds,41.5388,-8.6151,Hotel Do Terço
285,Key Largo,US,27.79,clear sky,25.0865,-80.4473,Bayside Inn Key Largo
286,Ponta do Sol,PT,23.89,broken clouds,32.6667,-17.1,Hotel do Campo
287,Puerto del Rosario,ES,22.86,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
288,Rajanpur,PK,29.81,clear sky,29.1035,70.325,Style Inn Shoes Rajanpur
289,Lagoa,PT,21.27,few clouds,39.05,-27.9833,Casa Das Faias
290,Province of Mantua,IT,19.83,overcast clouds,45.1667,10.7833,Hotel la Favorita
291,Mahibadhoo,MV,27.83,overcast clouds,3.7833,72.9667,Omadhoo Inn
292,Vestmannaeyjar,IS,4.22,overcast clouds,63.4427,-20.2734,Glamping & Camping
293,Takoradze,GH,24.58,scattered clouds,4.8845,-1.7554,Raybow International Hotel
294,Mareeba,AU,24.71,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
295,Naryan-Mar,RU,3.24,broken clouds,67.6713,53.087,Hostel Agat
296,Mitsamiouli,KM,25.61,light rain,-11.3847,43.2844,Foyer ADM
298,Liwale,TZ,19.05,clear sky,-9.7667,37.9333,Samoma lodge
299,Imeni Poliny Osipenko,RU,13.17,overcast clouds,52.4201,136.4853,Yubileynaya
300,Veinticinco de Mayo,AR,15.03,clear sky,-35.4323,-60.1727,Estancia La Rosada
301,Sehwan,PK,26.9,clear sky,26.4279,67.863,Lal Shahbaz Motel STDC
302,Tucumcari,US,27.75,scattered clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
303,Iskateley,RU,3.2,broken clouds,67.6803,53.1512,Hostel Agat
304,La Romana,DO,27.85,thunderstorm,18.4273,-68.9728,Casa de Campo Resort and Villas
305,Mananara,MG,20.93,light rain,-16.1667,49.7667,Chez Roger
